Product_id,Product_name,Product_price
497759,Drag to the Underworld [SGL-MTG-THB-089-ENN],0.25
497982,Dreadful Apathy [SGL-MTG-THB-011-ENN],0.15
497931,Dream Trawler [SGL-MTG-THB-214-ENN],2.49
497892,Dreamshaper Shaman [SGL-MTG-THB-130-ENN],0.25
497993,Dreamstalker Manticore [SGL-MTG-THB-131-ENN],0.25
497901,Dryad of the Ilysian Grove [SGL-MTG-THB-169-ENN],8.99
497879,Eat to Extinction [SGL-MTG-THB-090-ENN],0.75
497947,Eidolon of Inspiration [SGL-MTG-THB-271-ENN],0.25
497896,Eidolon of Obstruction [SGL-MTG-THB-012-ENN],0.49
497544,Eidolon of Philosophy [SGL-MTG-THB-048-ENN],0.15
498020,Elite Instructor [SGL-MTG-THB-049-ENN],0.15
497929,Elspeth Conquers Death [SGL-MTG-THB-013-ENN],2.49
497948,Elspeth's Devotee [SGL-MTG-THB-272-ENN],0.49
497930,Elspeth's Nightmare [SGL-MTG-THB-091-ENN],0.25
497545,"Elspeth, Sun's Nemesis [SGL-MTG-THB-014-ENN]",4.99
497946,"Elspeth, Undaunted Hero [SGL-MTG-THB-270-ENN]",1.49
498043,Enemy of Enlightenment [SGL-MTG-THB-092-ENN],0.25
497898,Enigmatic Incarnation [SGL-MTG-THB-215-ENN],0.49
497941,Entrancing Lyre [SGL-MTG-THB-233-ENN],0.25
497857,Erebos's Intervention [SGL-MTG-THB-094-ENN],0.49
497648,"Erebos, Bleak-Hearted [SGL-MTG-THB-093-ENN]",2.99
497657,Escape Velocity [SGL-MTG-THB-132-ENN],0.25
497864,Eutropia the Twice-Favored [SGL-MTG-THB-216-ENN],0.25
497888,Fateful End [SGL-MTG-THB-133-ENN],0.25
497907,Favored of Iroas [SGL-MTG-THB-015-ENN],0.25
497650,Field of Ruin [SGL-MTG-THB-242-ENN],0.75
497692,Final Death [SGL-MTG-THB-095-ENN],0.15
